SHOZOKU_CD 12345
JIGYO_CD 03
BUNKASAIMOKU_CD 1003
BUNKATSU_NO A
UKETUKE_NO 1234
NENDO 平成XX年度
NENDO_SEIREKI （20XX年度）
SAKUSEI_DATE_Y XX
SAKUSEI_DATE_M 9
SAKUSEI_DATE_D 10
EDITION 1
SHINSEI_KUBUN 継続（研究計画の大幅な変更を行うとする課題）
KADAI_NO （12345678）
SYUMOKU 基盤研究（S）
BUNYA_NAME 総合研究
BUNKA_NAME 情報学
SAIMOKU_NAME 計算機システム・ネットワーク
KEYWORD ハードウエア設計
KEYWORD_IGAI 
NAME_KANA ダイヒョウ　イチロウ
NAME_KANJI 代表　一郎
SHOZOKU_NAME AAA大学
BUKYOKU_NAME ○○部
SHOKU_NAME_KANJI 教授
KADAI_NAME_KANJI ××××の研究
NENDO1 平成2X年度
NENDO2 平成2X年度
NENDO3 平成2X年度
NENDO4 平成2X年度
NENDO5 平成2X年度
KEIHI1 100000
KEIHI2 100000
KEIHI3 100000
KEIHI4 0
KEIHI5 0
BIHINHI1 20000
BIHINHI2 20000
BIHINHI3 20000
BIHINHI4 0
BIHINHI5 0
SHOMOHINHI1 20000
SHOMOHINHI2 20000
SHOMOHINHI3 20000
SHOMOHINHI4 0
SHOMOHINHI5 0
RYOHI1 20000
RYOHI2 20000
RYOHI3 20000
RYOHI4 0
RYOHI5 0
SHAKIN1 20000
SHAKIN2 20000
SHAKIN3 20000
SHAKIN4 0
SHAKIN5 0
SONOTA1 20000
SONOTA2 20000
SONOTA3 20000
SONOTA4 0
SONOTA5 0
KEIHI_TOTAL 300000
BIHINHI_TOTAL 60000
SHOMOHINHI_TOTAL 60000
RYOHI_TOTAL 60000
SHAKIN_TOTAL 60000
SONOTA_TOTAL 60000



BUNTANKIN_FLG 無
KAIJIKIBO_FLG 審査結果の開示を希望する
SHINSEI_FLG_NO --


BUNTAN_FLG#1 研究代表者
KENKYU_NO#1 12345678
NENREI#1 (40)
NAME_KANA#1 ダイヒョウ　イチロウ
NAME_KANJI#1 代表　一郎
SHOZOKU_NAME#1 （XXXXX）AAA大学
BUKYOKU_NAME#1 （XXX）○○部
SHOKU_NAME#1 （XX）教授
SENMON#1 情報学
GAKUI#1 博士
BUNTAN#1 研究統括
KEIHI#1 50000
EFFORT#1 60

BUNTAN_FLG#2 研究分担者
KENKYU_NO#2 23456789
NENREI#2 (35)
NAME_KANA#2 ブンタン　ジロウ
NAME_KANJI#2 分担　二郎
SHOZOKU_NAME#2 （XXXXX）BBB大学
BUKYOKU_NAME#2 （XXX）××部
SHOKU_NAME#2 （XX）教授
SENMON#2 工学
GAKUI#2 博士
BUNTAN#2 ××の研究
KEIHI#2 30000
EFFORT#2 50

BUNTAN_FLG#3 研究分担者
KENKYU_NO#3 34567890
NENREI#3 (30)
NAME_KANA#3 ブンタン　サブロウ
NAME_KANJI#3 分担　三郎
SHOZOKU_NAME#3 （XXXXX）CCC大学
BUKYOKU_NAME#3 （XXX）△△部
SHOKU_NAME#3 （XX）准教授
SENMON#3 情報学
GAKUI#3 修士
BUNTAN#3 △△の研究
KEIHI#3 20000
EFFORT#3 70

BUNTAN_FLG#4 
KENKYU_NO#4 
NENREI#4 
NAME_KANA#4 
NAME_KANJI#4 
SHOZOKU_NAME#4 
BUKYOKU_NAME#4 
SHOKU_NAME#4 
SENMON#4 
GAKUI#4 
BUNTAN#4 
KEIHI#4 
EFFORT#4 

BUNTAN_FLG#5 
KENKYU_NO#5 
NENREI#5 
NAME_KANA#5 
NAME_KANJI#5 
SHOZOKU_NAME#5 
BUKYOKU_NAME#5 
SHOKU_NAME#5 
SENMON#5 
GAKUI#5 
BUNTAN#5 
KEIHI#5 
EFFORT#5 

BUNTAN_FLG#6 
KENKYU_NO#6 
NENREI#6 
NAME_KANA#6 
NAME_KANJI#6 
SHOZOKU_NAME#6 
BUKYOKU_NAME#6 
SHOKU_NAME#6 
SENMON#6 
GAKUI#6 
BUNTAN#6 
KEIHI#6 
EFFORT#6 

BUNTAN_FLG#7 
KENKYU_NO#7 
NENREI#7 
NAME_KANA#7 
NAME_KANJI#7 
SHOZOKU_NAME#7 
BUKYOKU_NAME#7 
SHOKU_NAME#7 
SENMON#7 
GAKUI#7 
BUNTAN#7 
KEIHI#7 
EFFORT#7 

BUNTAN_FLG#8 
KENKYU_NO#8 
NENREI#8 
NAME_KANA#8 
NAME_KANJI#8 
SHOZOKU_NAME#8 
BUKYOKU_NAME#8 
SHOKU_NAME#8 
SENMON#8 
GAKUI#8 
BUNTAN#8 
KEIHI#8 
EFFORT#8 

BUNTAN_FLG#9 
KENKYU_NO#9 
NENREI#9 
NAME_KANA#9 
NAME_KANJI#9 
SHOZOKU_NAME#9 
BUKYOKU_NAME#9 
SHOKU_NAME#9 
SENMON#9 
GAKUI#9 
BUNTAN#9 
KEIHI#9 
EFFORT#9 

BUNTAN_FLG#10 
KENKYU_NO#10 
NENREI#10 
NAME_KANA#10 
NAME_KANJI#10 
SHOZOKU_NAME#10 
BUKYOKU_NAME#10 
SHOKU_NAME#10 
SENMON#10 
GAKUI#10 
BUNTAN#10 
KEIHI#10 
EFFORT#10 

KENKYU_NINZU 3
TAKIKAN_NINZU 2
SERIAL_NO 12345-03- -1003-A-0001
PAGENUM -2-


